Driehaus Capital Management|US|7142|7624
Bankia Pensiones|Spain|7035|6478
KLP Kapitalforvaltning|Norway|6841|0
DDJ Capital|US|6523|7195
AlphaSimplex Group|US|6500|6000
Vega Investment Managers|France|6500|5800
Investa Property Group|Australia|6468|7199
Jacobs Levy Equity Management|US|6466|7306
Sberbank Asset Management JSC|Russia|6457|6457
Investors Mutual|Australia|6400|0
River Road Asset Management|US|6400|7000
Bantleon Bank|Switzerland|6393|8767
Ibercaja Pension|Spain|6363|6148
Unicaja|Spain|6054|5576
FIM Varainhoito Oy|Finland|6000|5400
